,단지코드,총세대수,임대건물구분,지역,전용면적,전용면적별세대수,빈집,임대료,노선수,버스,주차면수,등록차량수,대중교통,노인청소년합
0,C2515,545,아파트,경상남도,33.48,276,17.0,82940,0.0,3.0,624.0,205.0,3.0,0.235109561752988
1,C2515,545,아파트,경상남도,39.6,60,17.0,107130,0.0,3.0,624.0,205.0,3.0,0.235109561752988
2,C2515,545,아파트,경상남도,39.6,20,17.0,107130,0.0,3.0,624.0,205.0,3.0,0.235109561752988
3,C2515,545,아파트,경상남도,46.9,38,17.0,149760,0.0,3.0,624.0,205.0,3.0,0.235109561752988
4,C2515,545,아파트,경상남도,46.9,19,17.0,149760,0.0,3.0,624.0,205.0,3.0,0.235109561752988
5,C2515,545,아파트,경상남도,51.97,106,17.0,190090,0.0,3.0,624.0,205.0,3.0,0.235109561752988
6,C2515,545,아파트,경상남도,51.97,26,17.0,190090,0.0,3.0,624.0,205.0,3.0,0.235109561752988
7,C2576,405,아파트,경상남도,46.9,313,19.0,161780,0.0,4.0,296.0,73.0,4.0,0.235109561752988
8,C2576,405,아파트,경상남도,59.88,92,19.0,235420,0.0,4.0,296.0,73.0,4.0,0.235109561752988
9,C2416,560,아파트,경상남도,26.34,360,0.0,69820,0.0,5.0,154.0,63.0,5.0,0.235109561752988
10,C2416,560,아파트,경상남도,30.48,192,0.0,80800,0.0,5.0,154.0,63.0,5.0,0.235109561752988
11,C2416,560,상가,경상남도,19.69,1,0.0,,0.0,5.0,154.0,63.0,5.0,0.235109561752988
12,C2416,560,상가,경상남도,27.12,1,0.0,,0.0,5.0,154.0,63.0,5.0,0.235109561752988
13,C2416,560,상가,경상남도,32.54,1,0.0,,0.0,5.0,154.0,63.0,5.0,0.235109561752988
14,C2416,560,상가,경상남도,36.43,1,0.0,,0.0,5.0,154.0,63.0,5.0,0.235109561752988
15,C2416,560,상가,경상남도,46.89,1,0.0,,0.0,5.0,154.0,63.0,5.0,0.235109561752988
